,Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Date received,Date sent to company,Company response,Timely response?,Consumer disputed?
22852,1194365,Credit reporting,,Incorrect information on credit report,Information is not mine,AZ,85301,1/15/2015,1/15/2015,Closed with non-monetary relief,Yes,
22853,1194363,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,CA,91790,1/15/2015,1/26/2015,Closed with explanation,Yes,Yes
22854,1194362,Credit reporting,,Incorrect information on credit report,Account status,IA,52806,1/15/2015,2/3/2015,Closed with explanation,Yes,
22855,1194986,Bank account or service,Checking account,Problems caused by my funds being low,,AR,72033,1/15/2015,1/20/2015,Closed with explanation,Yes,
22856,1194367,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,TX,76209,1/15/2015,1/21/2015,In progress,Yes,
22857,1194368,Credit reporting,,Credit monitoring or identity protection,Problem with fraud alerts,FL,32233,1/15/2015,1/15/2015,Closed with non-monetary relief,Yes,Yes
22858,1194504,Bank account or service,Checking account,"Account opening, closing, or management",,NJ,8003,1/15/2015,1/20/2015,Closed with explanation,Yes,
22859,1194477,Credit card,,Rewards,,DC,20006,1/15/2015,1/15/2015,Closed with monetary relief,Yes,
22860,1194448,Debt collection,Medical,Disclosure verification of debt,Not disclosed as an attempt to collect,MD,20785,1/15/2015,1/15/2015,Closed,Yes,
22861,1194385,Bank account or service,Checking account,Deposits and withdrawals,,NY,11224,1/15/2015,1/15/2015,Closed with non-monetary relief,Yes,
22862,1194382,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,AL,35805,1/15/2015,1/15/2015,Closed with non-monetary relief,Yes,
22863,1194445,Bank account or service,Checking account,Problems caused by my funds being low,,TX,75662,1/15/2015,1/15/2015,Closed with explanation,Yes,Yes
22864,1194402,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,IL,61342,1/15/2015,1/15/2015,Closed with explanation,Yes,
22865,1194425,Bank account or service,Checking account,"Making/receiving payments, sending money",,,100,1/15/2015,1/15/2015,Closed with non-monetary relief,Yes,Yes
22866,1194420,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,FL,33027,1/15/2015,1/20/2015,Closed with explanation,No,
22867,1194418,Bank account or service,Checking account,Problems caused by my funds being low,,FL,33035,1/15/2015,1/15/2015,Closed with monetary relief,Yes,
22868,1194409,Credit card,,Other,,LA,70435,1/15/2015,1/15/2015,Closed with monetary relief,Yes,
22869,1194474,Credit card,,Other,,OH,44118,1/15/2015,1/15/2015,Closed with explanation,Yes,Yes
22870,1194453,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,FL,33904,1/15/2015,1/15/2015,Closed with non-monetary relief,Yes,
22871,1194458,Credit reporting,,Incorrect information on credit report,Account status,MD,20854,1/15/2015,1/26/2015,Closed with explanation,Yes,
22872,1194457,Credit reporting,,Incorrect information on credit report,Account status,MD,20854,1/15/2015,1/26/2015,Closed with explanation,Yes,
22873,1194454,Debt collection,,Disclosure verification of debt,Right to dispute notice not received,WI,53404,1/15/2015,1/15/2015,Closed with explanation,Yes,Yes
22874,1194996,Debt collection,Payday loan,Communication tactics,Threatened to take legal action,CA,95112,1/15/2015,1/15/2015,Closed with explanation,Yes,
22875,1194456,Money transfers,Domestic (US) money transfer,Other transaction issues,,OH,45220,1/15/2015,1/15/2015,Closed with explanation,Yes,
22876,1194455,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,1/15/2015,1/20/2015,Closed with explanation,Yes,
22877,1194470,Credit card,,Late fee,,MI,49601,1/15/2015,1/15/2015,Closed with explanation,Yes,
22878,1194459,Credit reporting,,Incorrect information on credit report,Account status,MD,20854,1/15/2015,1/26/2015,Closed with explanation,Yes,
22879,1194468,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,FL,32052,1/15/2015,1/20/2015,Closed with explanation,Yes,
22880,1194464,Credit card,,Balance transfer,,NJ,7070,1/15/2015,2/6/2015,In progress,Yes,
22881,1194466,Credit reporting,,Incorrect information on credit report,Information is not mine,TX,79316,1/15/2015,1/20/2015,Closed with non-monetary relief,Yes,
22882,1194465,Credit reporting,,Incorrect information on credit report,Information is not mine,TX,79316,1/15/2015,1/15/2015,Closed with non-monetary relief,Yes,
22883,1194503,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,NY,12822,1/15/2015,1/20/2015,Closed with non-monetary relief,Yes,
22884,1194495,Credit card,,Billing disputes,,MD,21215,1/15/2015,1/20/2015,Closed with explanation,Yes,
22885,1194490,Bank account or service,Checking account,"Account opening, closing, or management",,NY,14211,1/15/2015,1/16/2015,Closed with monetary relief,Yes,
22886,1194484,Bank account or service,Checking account,Problems caused by my funds being low,,OH,44111,1/15/2015,1/20/2015,Closed with explanation,Yes,
22887,1194479,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,PA,17111,1/15/2015,1/20/2015,Closed with explanation,Yes,
22888,1194478,Credit reporting,,Incorrect information on credit report,Public record,WV,25313,1/15/2015,1/15/2015,Closed with non-monetary relief,Yes,
22889,1194494,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,CA,95605,1/15/2015,1/15/2015,Closed with explanation,Yes,
22890,1194493,Credit reporting,,Incorrect information on credit report,Public record,NY,11552,1/15/2015,1/15/2015,Closed with explanation,Yes,
22891,1194991,Credit card,,Customer service / Customer relations,,CA,94952,1/15/2015,1/15/2015,Closed with explanation,Yes,Yes
22892,1194497,Bank account or service,Checking account,Problems caused by my funds being low,,TX,75024,1/15/2015,1/15/2015,Closed with explanation,Yes,
22893,1194496,Bank account or service,Other bank product/service,Deposits and withdrawals,,CA,90033,1/15/2015,1/20/2015,Closed with explanation,Yes,Yes
